Product Title,Price,Rating (⭐ out of 5),No. of Ratings,Source
"Apple iPhone 16 (Teal, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (Black, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (White, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (Ultramarine, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (White, 256 GB)","₹79,999",4.6,7518,Flipkart
"Apple iPhone 16 Pro 128 GB, Black Titanium","₹1,06,799.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 Pro 128 GB, White Titanium","₹1,06,799.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 256 GB, White","₹79,999.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 Plus 256 GB, Pink","₹94,900.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 128 GB, Teal","₹69,990.00",5,1,Reliance Digital
"Apple iPhone 16 (128GB, Teal)","₹71,490",4.4,11,Croma
"Apple iPhone 16 (128GB, Black)","₹79,900",4.4,11,Croma
"Apple iPhone 16 (128GB, Ultramarine)","₹71,490",4.4,11,Croma
"Apple iPhone 16 (256GB, Teal)","₹79,900",4.1,17,Croma
"Apple iPhone 16 (128GB, White)","₹71,490",4.1,17,Croma
"Apple iPhone 16 (Teal, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (Black, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (White, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (Ultramarine, 128 GB)","₹69,999",4.6,7518,Flipkart
"Apple iPhone 16 (White, 256 GB)","₹79,999",4.6,7518,Flipkart
"Apple iPhone 16 Pro 128 GB, Black Titanium","₹1,06,799.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 Pro 128 GB, White Titanium","₹1,06,799.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 256 GB, White","₹79,999.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 Plus 256 GB, Pink","₹94,900.00",N/A,N/A,Reliance Digital
"Apple iPhone 16 128 GB, Teal","₹69,990.00",5,1,Reliance Digital
"Apple iPhone 16 (128GB, Teal)","₹71,490",4.4,11,Croma
"Apple iPhone 16 (128GB, Black)","₹79,900",4.4,11,Croma
"Apple iPhone 16 (128GB, Ultramarine)","₹71,490",4.4,11,Croma
"Apple iPhone 16 (256GB, Teal)","₹79,900",4.1,17,Croma
"Apple iPhone 16 (128GB, White)","₹71,490",4.1,17,Croma
